Year,Gebietseinheit,GeoCode,Value
2013,"Nienburg (Weser)",K03256,107
2013,"Schaumburg",K03257,146
2013,"Statistische Region Hannover",K032,2943
2013,"Celle",K03351,148
2013,"Cuxhaven",K03352,125
2013,"Harburg",K03353,194
2013,"Lüchow-Dannenberg",K03354,12
2013,"Lüneburg",K03355,185
2013,"Osterholz",K03356,57
2013,"Rotenburg (Wümme)",K03357,118
2013,"Heidekreis",K03358,108
2013,"Stade",K03359,172
2013,"Uelzen",K03360,34
2013,"Verden",K03361,122
2013,"Statistische Region Lüneburg",K033,1275
2013,"Delmenhorst, Stadt",K03401,152
2013,"Emden  Stadt",K03402,72
2013,"Oldenburg(Oldb), Stadt",K03403,245
2013,"Osnabrück, Stadt",K03404,265
2013,"Wilhelmshaven, Stadt",K03405,109
2013,"Ammerland",K03451,74
2013,"Aurich",K03452,122
2013,"Cloppenburg",K03453,103
2013,"Emsland",K03454,146
2013,"Friesland",K03455,80
2013,"Grafschaft Bentheim",K03456,136
2013,"Leer",K03457,92
2013,"Oldenburg",K03458,131
2013,"Osnabrück",K03459,231
2013,"Vechta",K03460,207
2013,"Wesermarsch",K03461,85
2013,"Wittmund",K03462,29
2013,"Statistische Region Weser-Ems",K034,2279
2013,"Niedersachsen",K030,8216
2014,"Braunschweig, Stadt",K03101,315
2014,"Salzgitter, Stadt",K03102,124
2014,"Wolfsburg, Stadt",K03103,254
2014,"Gifhorn",K03151,114
2014,"Goslar",K03153,112
2014,"Helmstedt",K03154,28
2014,"Northeim",K03155,74
2014,"Peine",K03157,105
2014,"Wolfenbüttel",K03158,104
2014,"Göttingen",K03159,290
2014,"Statistische Region Braunschweig",K031,1520
2014,"Hannover  Region",K03241,2057
2014,"dav. Hannover, Lhst.",K03241001,1375
2014,"dav. Hannover, Umland",K03241999,682
2014,"Diepholz",K03251,145
2014,"Hameln-Pyrmont",K03252,90
2014,"Hildesheim",K03254,283
2014,"Holzminden",K03255,44
2014,"Nienburg (Weser)",K03256,102
2014,"Schaumburg",K03257,111
2014,"Statistische Region Hannover",K032,2832
2014,"Celle",K03351,149
2014,"Cuxhaven",K03352,114
2014,"Harburg",K03353,236
2014,"Lüchow-Dannenberg",K03354,7
2014,"Lüneburg",K03355,199
2014,"Osterholz",K03356,65
2014,"Rotenburg (Wümme)",K03357,105
2014,"Heidekreis",K03358,99
2014,"Stade",K03359,144
2014,"Uelzen",K03360,17
2014,"Verden",K03361,134
2014,"Statistische Region Lüneburg",K033,1269
2014,"Delmenhorst, Stadt",K03401,139
2014,"Emden  Stadt",K03402,75
2014,"Oldenburg(Oldb), Stadt",K03403,214
2014,"Osnabrück, Stadt",K03404,240
2014,"Wilhelmshaven, Stadt",K03405,91
2014,"Ammerland",K03451,100
2014,"Aurich",K03452,112
2014,"Cloppenburg",K03453,108
2014,"Emsland",K03454,163
2014,"Friesland",K03455,70
2014,"Grafschaft Bentheim",K03456,138
2014,"Leer",K03457,81
2014,"Oldenburg",K03458,103
2014,"Osnabrück",K03459,207
2014,"Vechta",K03460,176
2014,"Wesermarsch",K03461,69
2014,"Wittmund",K03462,15
2014,"Statistische Region Weser-Ems",K034,2101
2014,"Niedersachsen",K030,7722
2015,"Braunschweig, Stadt",K03101,379
2015,"Salzgitter, Stadt",K03102,123
2015,"Wolfsburg, Stadt",K03103,290
2015,"Gifhorn",K03151,140
2015,"Goslar",K03153,87
2015,"Helmstedt",K03154,42
2015,"Northeim",K03155,62
2015,"Peine",K03157,136
2015,"Wolfenbüttel",K03158,116
2015,"Göttingen",K03159,320
2015,"Statistische Region Braunschweig",K031,1695
2015,"Hannover  Region",K03241,1932
2015,"dav. Hannover, Lhst.",K03241001,1202
2015,"dav. Hannover, Umland",K03241999,730
2015,"Diepholz",K03251,121
2015,"Hameln-Pyrmont",K03252,186
2015,"Hildesheim",K03254,234
2015,"Holzminden",K03255,55
2015,"Nienburg (Weser)",K03256,124
2015,"Schaumburg",K03257,173
2015,"Statistische Region Hannover",K032,2825
2015,"Celle",K03351,197
2015,"Cuxhaven",K03352,127
2015,"Harburg",K03353,203
2015,"Lüchow-Dannenberg",K03354,10
2015,"Lüneburg",K03355,158
2015,"Osterholz",K03356,84
2015,"Rotenburg (Wümme)",K03357,93
2015,"Heidekreis",K03358,101
2015,"Stade",K03359,147
2015,"Uelzen",K03360,40
2015,"Verden",K03361,143
2015,"Statistische Region Lüneburg",K033,1303
2015,"Delmenhorst, Stadt",K03401,121
2015,"Emden  Stadt",K03402,66
2015,"Oldenburg(Oldb), Stadt",K03403,252
2015,"Osnabrück, Stadt",K03404,273
2015,"Wilhelmshaven, Stadt",K03405,100
2015,"Ammerland",K03451,153
2015,"Aurich",K03452,108
2015,"Cloppenburg",K03453,101
2015,"Emsland",K03454,116
2015,"Friesland",K03455,54
2015,"Grafschaft Bentheim",K03456,172
2015,"Leer",K03457,98
2015,"Oldenburg",K03458,99
2015,"Osnabrück",K03459,183
2015,"Vechta",K03460,165
2015,"Wesermarsch",K03461,79
2015,"Wittmund",K03462,25
2015,"Statistische Region Weser-Ems",K034,2165
2015,"Niedersachsen",K030,7988
2016,"Braunschweig, Stadt",K03101,391
2016,"Salzgitter, Stadt",K03102,129
2016,"Wolfsburg, Stadt",K03103,317
2016,"Gifhorn",K03151,180
2016,"Goslar",K03153,128
2016,"Helmstedt",K03154,38
2016,"Northeim",K03155,100
2016,"Peine",K03157,115
2016,"Wolfenbüttel",K03158,124
2016,"Göttingen",K03159,345
2016,"Statistische Region Braunschweig",K031,1867
2016,"Hannover  Region",K03241,2128
2016,"dav. Hannover, Lhst.",K03241001,1300
2016,"dav. Hannover, Umland",K03241999,828
2016,"Diepholz",K03251,180
2016,"Hameln-Pyrmont",K03252,159
2016,"Hildesheim",K03254,251
2016,"Holzminden",K03255,26
2016,"Nienburg (Weser)",K03256,115
2016,"Schaumburg",K03257,146
2016,"Statistische Region Hannover",K032,3005
2016,"Celle",K03351,124
2016,"Cuxhaven",K03352,133
2016,"Harburg",K03353,298
2016,"Lüchow-Dannenberg",K03354,17
2016,"Lüneburg",K03355,158
2016,"Osterholz",K03356,70
2016,"Rotenburg (Wümme)",K03357,88
2016,"Heidekreis",K03358,123
2016,"Stade",K03359,160
2016,"Uelzen",K03360,39
2016,"Verden",K03361,121
2016,"Statistische Region Lüneburg",K033,1331
2016,"Delmenhorst, Stadt",K03401,122
2016,"Emden  Stadt",K03402,47
2016,"Oldenburg(Oldb), Stadt",K03403,320
2016,"Osnabrück, Stadt",K03404,279
2016,"Wilhelmshaven, Stadt",K03405,116
2016,"Ammerland",K03451,177
2016,"Aurich",K03452,145
2016,"Cloppenburg",K03453,74
2016,"Emsland",K03454,184
2016,"Friesland",K03455,33
2016,"Grafschaft Bentheim",K03456,112
2016,"Leer",K03457,93
2016,"Oldenburg",K03458,118
2016,"Osnabrück",K03459,222
2016,"Vechta",K03460,169
2016,"Wesermarsch",K03461,87
2016,"Wittmund",K03462,18
2016,"Statistische Region Weser-Ems",K034,2316
2016,"Niedersachsen",K030,8519
2017,"Braunschweig, Stadt",K03101,390
2017,"Salzgitter, Stadt",K03102,147
2017,"Wolfsburg, Stadt",K03103,277
2017,"Gifhorn",K03151,143
2017,"Goslar",K03153,133
2017,"Helmstedt",K03154,64
2017,"Northeim",K03155,84
2017,"Peine",K03157,154
2017,"Wolfenbüttel",K03158,109
2017,"Göttingen",K03159,340
2017,"Statistische Region Braunschweig",K031,1841
2017,"Hannover  Region",K03241,2234
2017,"dav. Hannover, Lhst.",K03241001,1321
2017,"dav. Hannover, Umland",K03241999,913
2017,"Diepholz",K03251,196
2017,"Hameln-Pyrmont",K03252,164
2017,"Hildesheim",K03254,239
2017,"Holzminden",K03255,58
2017,"Nienburg (Weser)",K03256,83
2017,"Schaumburg",K03257,172
2017,"Statistische Region Hannover",K032,3146
2017,"Celle",K03351,191
2017,"Cuxhaven",K03352,166
2017,"Harburg",K03353,345
2017,"Lüchow-Dannenberg",K03354,20
2017,"Lüneburg",K03355,168
2017,"Osterholz",K03356,54
2017,"Rotenburg (Wümme)",K03357,87
2017,"Heidekreis",K03358,130
2017,"Stade",K03359,114
2017,"Uelzen",K03360,19
2017,"Verden",K03361,115
2017,"Statistische Region Lüneburg",K033,1409
2017,"Delmenhorst, Stadt",K03401,87
2017,"Emden  Stadt",K03402,42
2017,"Oldenburg(Oldb), Stadt",K03403,287
2017,"Osnabrück, Stadt",K03404,291
2017,"Wilhelmshaven, Stadt",K03405,115
2017,"Ammerland",K03451,132
2017,"Aurich",K03452,155
2017,"Cloppenburg",K03453,117
2017,"Emsland",K03454,156
2017,"Friesland",K03455,25
2017,"Grafschaft Bentheim",K03456,124
2017,"Leer",K03457,97
2017,"Oldenburg",K03458,126
2017,"Osnabrück",K03459,287
2017,"Vechta",K03460,228
2017,"Wesermarsch",K03461,99
2017,"Wittmund",K03462,21
2017,"Statistische Region Weser-Ems",K034,2389
2017,"Niedersachsen",K030,8785
2018,"Braunschweig, Stadt",K03101,249
2018,"Salzgitter, Stadt",K03102,162
2018,"Wolfsburg, Stadt",K03103,341
2018,"Gifhorn",K03151,165
2018,"Goslar",K03153,98
2018,"Helmstedt",K03154,59
2018,"Northeim",K03155,106
2018,"Peine",K03157,129
2018,"Wolfenbüttel",K03158,118
2018,"Göttingen",K03159,354
2018,"Statistische Region Braunschweig",K031,1781
2018,"Hannover  Region",K03241,1973
2018,"dav. Hannover, Lhst.",K03241001,1131
2018,"dav. Hannover, Umland",K03241999,842
2018,"Diepholz",K03251,235
2018,"Hameln-Pyrmont",K03252,193
2018,"Hildesheim",K03254,303
2018,"Holzminden",K03255,50
2018,"Nienburg (Weser)",K03256,102
2018,"Schaumburg",K03257,134
2018,"Statistische Region Hannover",K032,2990
2018,"Celle",K03351,170
2018,"Cuxhaven",K03352,114
2018,"Harburg",K03353,282
2018,"Lüchow-Dannenberg",K03354,19
2018,"Lüneburg",K03355,148
2018,"Osterholz",K03356,72
2018,"Rotenburg (Wümme)",K03357,107
2018,"Heidekreis",K03358,146
2018,"Stade",K03359,180
2018,"Uelzen",K03360,46
2018,"Verden",K03361,105
2018,"Statistische Region Lüneburg",K033,1389
2018,"Delmenhorst, Stadt",K03401,123
2018,"Emden  Stadt",K03402,40
2018,"Oldenburg(Oldb), Stadt",K03403,310
2018,"Osnabrück, Stadt",K03404,309
2018,"Wilhelmshaven, Stadt",K03405,109
2018,"Ammerland",K03451,57
2018,"Aurich",K03452,144
2018,"Cloppenburg",K03453,122
2018,"Emsland",K03454,127
2018,"Friesland",K03455,31
2018,"Grafschaft Bentheim",K03456,173
2018,"Leer",K03457,94
2018,"Oldenburg",K03458,104
2018,"Osnabrück",K03459,298
2018,"Vechta",K03460,171
2018,"Wesermarsch",K03461,77
2018,"Wittmund",K03462,21
2018,"Statistische Region Weser-Ems",K034,2310
2018,"Niedersachsen",K030,8470
2019,"Braunschweig, Stadt",K03101,280
2019,"Salzgitter, Stadt",K03102,168
2019,"Wolfsburg, Stadt",K03103,325
2019,"Gifhorn",K03151,173
2019,"Goslar",K03153,102
2019,"Helmstedt",K03154,96
2019,"Northeim",K03155,129
2019,"Peine",K03157,192
2019,"Wolfenbüttel",K03158,134
2019,"Göttingen",K03159,378
2019,"Statistische Region Braunschweig",K031,1977
2019,"Hannover  Region",K03241,2465
2019,"dav. Hannover, Lhst.",K03241001,1404
2019,"dav. Hannover, Umland",K03241999,891
2019,"Diepholz",K03251,308
2019,"Hameln-Pyrmont",K03252,278
2019,"Hildesheim",K03254,355
2019,"Holzminden",K03255,59
